,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
55,Asia,Master's,Y,N,2368,1998,Northeast,113799.64,Year,Y,Certified
56,Europe,Bachelor's,Y,Y,779,1994,West,85854.09,Year,Y,Certified
57,Asia,Bachelor's,Y,N,2825,1996,Northeast,14174.04,Year,Y,Certified
58,Europe,Bachelor's,N,N,3510,2007,West,47176.84,Year,Y,Certified
59,Asia,Doctorate,N,N,2624,2012,Midwest,4949.28,Year,Y,Certified
60,Asia,Master's,N,Y,5340,2010,West,67410.59,Year,Y,Denied
61,Europe,Doctorate,Y,Y,2311,1994,Midwest,58791.58,Year,Y,Certified
62,Asia,High School,N,N,5110,2004,West,103.2216,Hour,Y,Denied
63,Europe,Bachelor's,Y,N,1316,1995,South,62591.57,Year,Y,Certified
64,Asia,Master's,N,N,100,2001,Northeast,102919.59,Year,Y,Denied
65,Asia,Master's,Y,N,2021,2007,Midwest,123468.56,Year,Y,Certified
66,North America,Bachelor's,N,N,80,1968,West,82324.64,Year,N,Denied
67,Europe,Doctorate,Y,N,2070,1847,West,5319.49,Year,Y,Certified
68,Asia,Bachelor's,Y,Y,2654,2013,Midwest,153019.94,Year,Y,Certified
69,Asia,Master's,Y,N,292,2005,South,38059.89,Year,Y,Certified
70,Asia,High School,Y,N,1320,2001,Northeast,230.327,Hour,Y,Denied
71,Asia,High School,Y,N,1722,2007,South,61521.92,Year,Y,Certified
72,Europe,Bachelor's,Y,N,3339,1935,Northeast,121316.5,Year,Y,Denied
73,Asia,Master's,Y,N,452,1890,South,122540.55,Year,Y,Certified
74,Africa,Master's,Y,N,3705,2001,South,47170.76,Year,Y,Certified
75,North America,Bachelor's,N,N,85,1999,Northeast,330.3743,Hour,Y,Denied
76,Europe,Bachelor's,Y,N,2423,1838,West,2927.34,Year,Y,Certified
77,Asia,Bachelor's,Y,N,1274,1999,South,107781.48,Year,Y,Certified
78,North America,Master's,N,N,1549,2001,South,590.0203,Hour,Y,Certified
79,Asia,High School,N,Y,1062,1998,West,194176.83,Year,Y,Denied
80,Asia,Bachelor's,Y,N,32619,1947,South,102073.81,Year,Y,Certified
81,Asia,Master's,Y,N,4036,2001,South,113882.38,Year,Y,Certified
82,Asia,High School,Y,N,39,2000,West,70778.82,Year,Y,Denied
83,Asia,Bachelor's,Y,N,2359,2007,Northeast,84125.48,Year,Y,Certified
84,Asia,Master's,Y,Y,1023,2002,South,174014.59,Year,Y,Certified
85,Asia,Master's,Y,N,2480,1981,Northeast,34213.17,Year,Y,Certified
86,Asia,High School,N,N,1255,1989,Northeast,79813.05,Year,N,Denied
87,Asia,High School,Y,N,4455,1998,West,113327.34,Year,Y,Denied
88,Asia,Bachelor's,N,N,2543,1939,Northeast,78893.64,Year,Y,Denied
89,Asia,Bachelor's,Y,N,1359,2008,West,140290.16,Year,Y,Certified
90,Asia,High School,Y,Y,2324,2006,Northeast,111926.01,Year,Y,Denied
91,North America,Bachelor's,N,N,4103,2004,Northeast,125880.21,Year,Y,Denied
92,Asia,Bachelor's,N,N,3667,1970,Northeast,527.8901,Hour,Y,Denied
93,Asia,High School,N,N,488,2010,Midwest,49357.95,Year,Y,Certified
94,North America,Bachelor's,Y,N,2724,1998,South,69335.2,Year,Y,Certified
95,Asia,Master's,N,N,1392,2001,South,99737.18,Year,N,Certified
96,North America,Bachelor's,Y,N,2573,1977,Northeast,91449.62,Year,Y,Denied
97,North America,Bachelor's,Y,N,3524,1982,Midwest,34494.86,Year,Y,Certified
98,Asia,High School,N,N,1847,1977,Northeast,395.995,Hour,Y,Denied
99,Asia,Master's,N,N,107535,1970,West,159645.51,Year,Y,Denied
100,Asia,Master's,Y,N,2227,2007,Northeast,28243.79,Year,Y,Certified
101,Asia,Master's,Y,N,334,2007,Midwest,43421.88,Year,Y,Certified
102,Asia,Bachelor's,Y,N,224,2008,Midwest,80253.78,Year,Y,Certified
103,Asia,Doctorate,Y,N,367,1982,West,115235.95,Year,Y,Certified
104,Asia,Master's,Y,N,306,2003,Northeast,95200.86,Year,N,Certified
105,North America,Doctorate,Y,N,2317,1995,Island,41613.52,Year,Y,Certified
106,Asia,Bachelor's,N,N,890,1981,West,64137.41,Year,Y,Denied
107,Asia,Bachelor's,Y,N,2002,2006,South,66295.43,Year,Y,Certified
108,Asia,Bachelor's,N,N,2903,1943,Midwest,97520.02,Year,Y,Certified
109,Asia,Bachelor's,Y,N,2504,2001,West,65164.57,Year,Y,Certified
110,North America,High School,Y,N,951,1956,Midwest,73957.17,Year,N,Certified
111,Asia,Master's,Y,N,1327,1864,West,71415.43,Year,Y,Certified
112,Asia,Bachelor's,Y,N,2421,1974,South,87336.53,Year,Y,Certified
113,North America,High School,Y,N,1019,2005,South,98966.72,Week,Y,Certified
114,Asia,Doctorate,N,N,1048,1985,Midwest,83503.6,Year,Y,Certified
115,Asia,Master's,N,N,3323,2005,Midwest,57590.66,Year,Y,Certified
116,Asia,Bachelor's,Y,N,509,1997,South,32400.2,Week,Y,Certified
117,North America,Master's,Y,Y,2225,1976,Northeast,65993.21,Year,Y,Certified
118,Asia,Bachelor's,Y,N,1641,1984,Midwest,32161.6,Year,Y,Certified
119,Asia,Master's,N,N,1144,2001,Northeast,16421.37,Year,Y,Denied
120,North America,Master's,N,N,2334,1971,South,160676.39,Year,N,Certified
121,South America,Bachelor's,N,N,1415,1913,Northeast,53114.02,Year,Y,Denied
122,Asia,Doctorate,Y,Y,2754,1997,South,19176.21,Year,Y,Certified
123,North America,Master's,N,N,1099,2005,West,204832.52,Year,N,Denied
124,Asia,Master's,Y,N,960,2012,Northeast,40256.03,Year,Y,Certified
125,North America,Master's,Y,N,2750,1997,West,38841.44,Year,Y,Certified
126,Asia,High School,Y,N,2753,2010,Northeast,133052.84,Year,Y,Denied
127,North America,Bachelor's,Y,N,23287,2007,South,75234.64,Year,N,Certified
128,Asia,Bachelor's,N,N,2140,1997,South,37032.83,Year,Y,Certified
129,Asia,Bachelor's,N,N,4499,2008,Northeast,61617.73,Year,Y,Denied
130,South America,High School,N,N,2554,2005,Midwest,247393.01,Year,Y,Certified
131,Asia,Bachelor's,Y,N,1333,1969,Northeast,341.0229,Hour,Y,Certified
132,Asia,Doctorate,N,N,928,1818,South,30570.95,Year,Y,Certified
133,Asia,Doctorate,Y,N,4289,2005,Midwest,19477.1,Year,Y,Certified
134,Asia,Doctorate,Y,Y,113282,2011,Midwest,164893.0,Year,Y,Certified
135,Asia,Master's,Y,N,1948,2002,South,131584.5,Year,Y,Certified
136,Asia,Master's,Y,N,1933,1839,Northeast,63896.35,Year,Y,Certified
137,Asia,Master's,N,N,2847,2013,Midwest,77883.22,Year,Y,Certified
138,Asia,Bachelor's,Y,N,1195,1914,Midwest,108519.14,Year,Y,Certified
139,Asia,Master's,Y,N,54,1988,South,47002.53,Year,N,Certified
140,Asia,Master's,N,N,4390,1944,South,88720.29,Year,N,Certified
141,Asia,Master's,Y,N,73909,2004,Midwest,60821.75,Year,Y,Certified
142,Asia,Master's,N,Y,545,1855,South,66324.69,Year,Y,Certified
143,Asia,Doctorate,Y,N,2831,1977,South,100398.58,Year,Y,Certified
144,Asia,Bachelor's,N,Y,1634,1999,South,51282.75,Year,Y,Certified
145,Europe,Bachelor's,Y,N,1810,1943,South,13322.72,Year,Y,Certified
146,Europe,Bachelor's,Y,N,3290,2005,Northeast,357.8194,Hour,Y,Certified
147,Asia,Master's,Y,N,472,2004,West,4787.43,Year,Y,Certified
148,Asia,Bachelor's,Y,N,4273,1884,Midwest,149023.92,Year,Y,Certified
149,Asia,Master's,N,N,2326,1933,West,123739.41,Year,Y,Denied
150,Asia,Bachelor's,N,N,50351,1975,West,529.1105,Hour,Y,Denied
151,Europe,Master's,Y,N,2261,1966,Midwest,68933.4,Year,Y,Certified
152,Asia,High School,Y,N,255,2003,Northeast,412.3476,Hour,Y,Denied
153,Asia,Master's,Y,N,373,2009,South,128931.59,Year,N,Certified
154,Europe,High School,Y,Y,22,1999,Midwest,37751.51,Year,Y,Certified
155,Asia,Doctorate,Y,Y,3102,2001,West,81781.43,Year,Y,Certified
156,Asia,Master's,Y,N,5147,1997,Northeast,6256.18,Year,Y,Certified
157,Asia,Doctorate,Y,N,284,2007,Northeast,44539.97,Year,Y,Certified
158,North America,Master's,Y,N,1926,1801,West,104281.71,Year,Y,Certified
159,Asia,High School,Y,N,2510,1920,Midwest,125323.7,Year,Y,Certified
160,Europe,Doctorate,Y,Y,1200,2013,Midwest,81816.46,Year,Y,Certified
161,Europe,Bachelor's,Y,N,337,2004,West,4027.85,Year,Y,Certified
162,North America,Doctorate,Y,N,2880,1925,South,56117.39,Year,N,Certified
163,Asia,Bachelor's,Y,N,816,1947,South,113212.16,Year,Y,Certified
164,Asia,Master's,Y,N,2640,2009,West,47095.57,Year,Y,Certified
165,Asia,Master's,Y,N,4190,2006,South,123437.12,Year,N,Certified
166,Asia,Bachelor's,Y,N,459,1998,Northeast,65894.51,Year,Y,Certified
167,Asia,High School,Y,N,3351,1993,Northeast,174333.19,Year,Y,Denied
168,Asia,Bachelor's,N,N,3639,1988,Northeast,192.157,Hour,Y,Denied
169,Asia,Master's,N,N,373,1992,West,71825.63,Week,Y,Denied
170,Europe,Bachelor's,N,N,201,1982,South,50362.77,Year,Y,Certified
171,South America,Bachelor's,Y,N,5461,1979,Northeast,9078.62,Year,Y,Certified
172,Asia,Master's,Y,N,3050,1993,Northeast,10341.89,Year,Y,Certified
173,Asia,Bachelor's,Y,N,28592,1997,West,61740.3,Year,Y,Certified
174,Europe,Bachelor's,Y,N,3207,1995,Midwest,61031.95,Year,Y,Certified
175,Asia,Doctorate,Y,N,5820,1998,South,31986.79,Year,Y,Certified
176,North America,Bachelor's,Y,Y,3229,1999,South,93384.38,Year,Y,Certified
177,Asia,Bachelor's,Y,N,2708,2010,Northeast,109921.68,Year,Y,Certified
178,Asia,Doctorate,N,Y,2779,2002,Midwest,122535.0,Year,Y,Certified
179,Asia,High School,Y,N,977,1986,Northeast,105898.54,Year,Y,Denied
180,Europe,Bachelor's,Y,Y,44069,2006,West,134350.49,Year,Y,Certified
181,Europe,Bachelor's,Y,N,1566,1931,South,126498.81,Year,Y,Certified
182,Europe,Master's,N,Y,4439,1962,South,113366.37,Year,Y,Certified
183,Asia,Master's,N,N,1929,2001,Midwest,100401.52,Year,Y,Certified
184,Asia,Bachelor's,N,N,654,1954,Northeast,128173.92,Year,Y,Denied
185,Asia,High School,Y,Y,557,2010,Northeast,313.835,Hour,Y,Denied
186,Asia,Bachelor's,N,N,421,2005,Midwest,88809.74,Year,Y,Certified
187,Europe,High School,Y,N,600,2009,Northeast,138032.0,Year,Y,Denied
188,South America,Master's,Y,N,1551,1989,West,630.66,Year,Y,Certified
189,Europe,Doctorate,Y,N,2540,2003,Midwest,29469.17,Year,Y,Certified
190,Asia,Bachelor's,Y,N,961,2007,West,123688.79,Year,Y,Certified
191,Asia,Doctorate,Y,N,3726,1884,Northeast,111179.86,Year,N,Certified
192,North America,Master's,Y,N,4045,1987,West,102909.59,Year,N,Certified
193,Asia,Master's,Y,N,128431,1991,West,128850.75,Year,Y,Certified
194,Africa,Master's,Y,N,2180,1992,Midwest,113637.4,Year,Y,Certified
195,Asia,Bachelor's,N,N,872,1991,Northeast,179675.58,Year,Y,Denied
196,Europe,Master's,N,N,2689,1998,South,15814.94,Year,Y,Certified
197,Europe,Master's,N,Y,2752,2006,South,21511.58,Year,Y,Certified
198,Asia,Master's,N,N,1375,1976,South,94252.62,Year,N,Certified
199,Europe,Master's,Y,N,7320,1868,Northeast,89207.07,Year,Y,Certified
200,Asia,Doctorate,Y,N,3282,1979,West,74441.11,Year,Y,Certified
201,Asia,Bachelor's,Y,N,1313,2002,West,99469.71,Year,Y,Certified
202,Asia,Bachelor's,Y,N,3128,1999,West,31890.66,Year,Y,Certified
203,Asia,Master's,N,N,4757,1981,Midwest,167376.13,Year,Y,Certified
204,Asia,High School,Y,N,2122,1859,Midwest,130404.72,Year,Y,Certified
205,Asia,High School,Y,N,2524,1946,West,84130.53,Year,Y,Denied
206,Europe,Doctorate,Y,N,766,1950,Midwest,89079.05,Year,Y,Certified
207,Asia,High School,N,N,1190,2003,South,82464.74,Year,Y,Certified
208,North America,High School,N,N,2741,2005,Northeast,158.3807,Hour,Y,Denied
209,Asia,Master's,N,N,3233,2012,South,62640.94,Year,N,Certified
210,Asia,Master's,Y,N,2696,1966,Island,116642.18,Year,N,Certified
211,Asia,Master's,Y,N,3980,1869,South,53767.37,Year,Y,Certified
212,Asia,Doctorate,N,Y,111,2008,Northeast,115777.03,Year,Y,Denied
213,North America,Master's,N,N,5396,1963,South,101399.51,Year,N,Certified
214,Asia,Bachelor's,N,N,2778,2000,Northeast,146374.48,Year,Y,Denied
215,Europe,Bachelor's,N,Y,789,1925,Midwest,21282.82,Year,Y,Certified
216,Asia,Master's,Y,N,1515,2001,Midwest,269321.68,Year,N,Certified
217,North America,Bachelor's,Y,N,26891,1917,Northeast,52114.54,Year,Y,Denied
218,Europe,Bachelor's,N,N,1867,1933,Northeast,2390.74,Year,Y,Certified
219,Europe,Master's,Y,N,3395,2008,South,73623.94,Year,Y,Certified
220,Asia,Bachelor's,Y,N,879,1996,Midwest,141796.39,Month,Y,Certified
221,North America,Doctorate,Y,Y,2518,2010,South,219529.62,Year,Y,Certified
222,Europe,Doctorate,N,N,2468,1991,West,195404.0,Year,Y,Certified
223,Europe,Bachelor's,N,N,787,1913,Northeast,158569.72,Year,N,Denied
224,South America,Bachelor's,N,N,1004,1960,Midwest,135792.52,Year,Y,Certified
225,Asia,Bachelor's,Y,N,717,1998,Northeast,100379.63,Year,Y,Certified
226,North America,Master's,N,N,20,1997,Midwest,138925.72,Year,N,Certified
227,Asia,High School,Y,N,503,1998,Midwest,118458.61,Year,Y,Certified
228,Asia,High School,Y,N,584,1968,West,688.1266,Hour,Y,Denied
229,Asia,Master's,N,N,2770,1997,South,112028.45,Year,N,Certified
230,North America,High School,N,N,284,1982,West,808.582,Hour,Y,Denied
231,Asia,Master's,Y,N,1935,1989,Northeast,112881.33,Year,Y,Certified
232,Asia,Doctorate,Y,N,2098,2010,South,7794.05,Year,Y,Certified
233,Asia,Bachelor's,Y,N,3223,1997,South,7113.47,Year,Y,Certified
234,Europe,Bachelor's,N,N,2771,1975,West,100786.62,Year,Y,Certified
235,North America,High School,N,N,2147,1986,West,87390.54,Year,Y,Denied
236,Asia,Bachelor's,N,N,2543,2014,West,93644.17,Year,Y,Denied
237,North America,Master's,N,N,155999,2003,West,118555.6,Year,Y,Denied
238,Asia,Master's,N,N,3592,1950,West,114512.69,Year,Y,Denied
239,Europe,Master's,Y,N,5504,1996,South,59125.18,Year,Y,Certified
240,Europe,High School,Y,N,2216,2000,Northeast,26325.98,Year,Y,Denied
241,Oceania,Doctorate,Y,N,2871,2009,South,56606.54,Month,Y,Certified
242,Africa,Bachelor's,N,Y,2509,2003,West,51886.04,Year,Y,Denied
243,North America,Master's,N,N,1720,1995,Northeast,62112.22,Week,Y,Denied
244,Europe,Doctorate,Y,N,1760,1997,South,63108.03,Year,Y,Certified
245,Europe,Master's,N,N,-25,1980,Northeast,39452.99,Year,Y,Certified
246,Europe,Doctorate,Y,Y,1025,2005,Northeast,80580.97,Year,Y,Certified
247,Europe,Doctorate,N,N,109,2008,South,37291.82,Year,Y,Certified
248,North America,Master's,Y,N,2901,1971,Northeast,95974.61,Year,Y,Certified
249,Asia,High School,Y,N,4449,1963,Northeast,21846.43,Year,Y,Denied
250,Asia,Master's,Y,N,4280,2004,Northeast,61147.07,Year,Y,Certified
251,Europe,Doctorate,N,Y,2223,2013,West,120148.75,Year,Y,Certified
252,Asia,Bachelor's,Y,N,1667,2007,South,206941.23,Year,N,Certified
253,Europe,Master's,Y,N,5260,1994,West,91689.54,Year,Y,Certified
254,Asia,Master's,N,N,365,1896,Northeast,76214.85,Year,Y,Denied
255,Europe,High School,N,N,1243,1998,West,65458.88,Year,Y,Denied
256,Asia,Master's,Y,N,1721,2009,South,62730.52,Year,Y,Certified
257,Asia,Bachelor's,Y,N,517,1949,South,21651.43,Year,Y,Certified
258,Asia,Bachelor's,N,N,3266,2007,Midwest,102598.35,Year,Y,Certified
259,Asia,Bachelor's,Y,N,955,1998,West,56422.81,Year,Y,Certified
260,Asia,Bachelor's,N,N,1310,2007,South,141372.27,Year,Y,Certified
261,Asia,Master's,N,Y,2854,1843,Northeast,138642.17,Year,Y,Denied
262,Asia,Bachelor's,Y,N,230,1925,Midwest,143628.65,Year,Y,Certified
263,Asia,Master's,N,N,2374,2006,Midwest,35760.36,Year,Y,Certified
264,Asia,Master's,N,N,4241,1998,Northeast,3456.8,Year,Y,Denied
265,South America,High School,Y,N,69469,1974,South,42469.25,Year,Y,Certified
266,Asia,Bachelor's,N,N,5425,1855,Northeast,45614.3,Year,Y,Denied
267,North America,Master's,Y,N,2733,1960,West,108458.31,Year,Y,Certified
268,Asia,Master's,Y,N,3664,1931,West,62950.34,Year,Y,Certified
269,Asia,Bachelor's,N,Y,1546,1850,South,162990.52,Year,Y,Certified
270,Asia,Master's,Y,N,2486,1906,South,84521.88,Year,Y,Certified
271,North America,Master's,Y,N,1233,2001,South,141129.7,Year,N,Certified
272,Asia,High School,N,N,1681,1999,West,85218.35,Year,Y,Denied
273,Africa,Master's,N,N,1608,2009,West,118.84,Hour,Y,Denied
274,Asia,Master's,N,N,4349,1998,West,154428.88,Year,N,Denied
275,Asia,Bachelor's,Y,N,1764,1961,South,65108.59,Year,Y,Certified
276,Asia,Bachelor's,Y,Y,4440,1998,South,21001.69,Year,Y,Certified
277,Asia,High School,N,N,769,1951,South,57370.96,Year,Y,Certified
278,Asia,Master's,N,N,2443,1958,Midwest,99714.22,Year,Y,Certified
279,Asia,High School,N,N,3725,2009,Midwest,139424.83,Year,Y,Certified
280,Asia,Bachelor's,N,N,2061,1995,West,20951.91,Year,Y,Denied
281,Asia,Master's,Y,N,216,1909,Midwest,66329.37,Year,Y,Certified
282,Europe,Bachelor's,Y,N,3489,2007,South,88447.6,Year,Y,Certified
283,North America,Bachelor's,N,Y,433,1912,West,123018.45,Year,Y,Denied
284,Asia,Bachelor's,Y,N,1932,1989,South,165.2722,Hour,Y,Certified
285,North America,Master's,Y,N,572,1847,Northeast,12800.02,Year,Y,Certified
286,Europe,Master's,Y,N,306,1975,South,103390.44,Year,N,Certified
287,Europe,Bachelor's,N,N,623,2007,Northeast,25419.59,Year,Y,Certified
288,Oceania,Bachelor's,N,N,2288,2011,West,82385.6,Year,Y,Denied
289,Asia,Master's,N,Y,3370,2007,West,42761.33,Year,Y,Denied
290,Asia,Master's,N,N,875,1983,Midwest,98119.94,Year,Y,Certified
291,North America,Bachelor's,N,N,2586,1997,West,2007.26,Year,Y,Denied
292,Asia,Bachelor's,N,N,661,2006,Midwest,84899.65,Year,Y,Certified
293,Asia,Bachelor's,N,N,2337,1996,South,26813.7,Year,Y,Certified
294,Asia,Bachelor's,N,N,1672,1998,South,367.31,Year,Y,Certified
295,Asia,Master's,Y,N,717,1948,South,116370.47,Year,Y,Certified
296,Europe,Bachelor's,Y,N,1017,1975,South,32086.09,Year,Y,Certified
297,Asia,High School,N,N,1624,2000,West,205084.59,Year,Y,Denied
298,Asia,Bachelor's,N,Y,3891,1931,South,45860.87,Year,Y,Certified
299,Asia,Master's,Y,Y,2009,2005,West,69741.05,Year,Y,Certified
300,Asia,Master's,Y,N,3268,2012,Midwest,101371.21,Year,Y,Certified
301,Asia,Master's,N,N,1312,1998,South,93644.47,Year,Y,Certified
302,North America,Bachelor's,N,N,229,2005,West,248.01,Hour,Y,Denied
303,Asia,Bachelor's,Y,N,2597,1945,West,155042.99,Year,Y,Certified
304,Asia,Bachelor's,Y,N,2114,1977,West,596.2488,Hour,Y,Certified
305,North America,Master's,Y,N,48369,2007,West,53304.04,Year,Y,Certified
306,Asia,Bachelor's,Y,N,2609,1991,Northeast,34738.65,Year,Y,Certified
307,North America,Master's,Y,N,4265,1997,South,69375.0,Year,Y,Certified
308,Asia,Bachelor's,Y,N,533,1978,West,30066.16,Year,Y,Certified
309,Asia,Master's,Y,N,4574,2006,Northeast,67204.54,Year,Y,Certified
310,Asia,Master's,Y,Y,954,1988,West,56065.53,Year,Y,Certified
311,Europe,Bachelor's,Y,N,3831,2010,West,18035.36,Year,Y,Certified
312,Asia,Bachelor's,N,N,1778,1983,South,100850.52,Year,Y,Certified
313,Asia,High School,N,N,29453,2005,Island,133586.58,Year,Y,Denied
314,Asia,High School,N,N,652,1913,Northeast,24968.7,Year,N,Denied
315,Asia,High School,Y,N,2170,1998,Midwest,115801.09,Year,Y,Certified
316,North America,High School,Y,N,3550,2012,West,268.1379,Hour,Y,Certified
317,South America,Bachelor's,N,N,1761,1995,Midwest,667.4133,Hour,Y,Certified
318,Asia,High School,N,N,805,1898,Northeast,117.85,Hour,Y,Denied
319,North America,Doctorate,Y,Y,1615,1991,South,112655.02,Year,Y,Certified
320,South America,High School,Y,N,4153,2010,Island,135250.42,Year,Y,Certified
321,Asia,High School,N,Y,743,1999,South,132240.65,Year,Y,Certified
322,Asia,Bachelor's,Y,N,3827,1995,South,65376.07,Year,Y,Certified
323,Asia,Master's,Y,N,2345,1966,South,111254.68,Year,Y,Certified
324,Europe,Bachelor's,Y,N,6188,1993,South,94830.46,Year,Y,Certified
325,North America,Bachelor's,Y,N,629,2004,West,232227.33,Year,Y,Certified
326,Asia,Bachelor's,Y,N,5576,2009,West,125246.83,Year,Y,Certified
327,Europe,Doctorate,Y,N,5075,1981,Northeast,36028.54,Year,Y,Certified
328,Asia,Master's,N,N,2234,1920,West,238691.32,Year,N,Denied
329,Asia,Bachelor's,Y,N,2698,1970,West,34168.31,Year,Y,Certified
330,Asia,Doctorate,Y,N,1485,1993,Northeast,91290.38,Year,Y,Certified
331,Europe,Bachelor's,N,N,2425,2008,South,83239.29,Year,Y,Certified
332,South America,Bachelor's,Y,N,2969,1923,West,62586.7,Year,Y,Denied
333,Europe,Bachelor's,Y,N,1738,2011,Midwest,29260.86,Year,Y,Certified
334,Asia,Master's,Y,N,4614,1911,Northeast,84716.62,Year,N,Certified
335,Asia,Master's,Y,N,1222,1975,Midwest,54424.62,Year,Y,Certified
336,Europe,Doctorate,N,N,186,1991,West,16551.46,Year,Y,Certified
337,North America,Bachelor's,N,Y,2747,1994,Northeast,42321.96,Year,Y,Denied
338,Asia,Bachelor's,Y,N,2114,2012,Northeast,15.7716,Hour,Y,Certified
339,Asia,High School,Y,N,4550,1968,Midwest,104457.29,Year,Y,Certified
340,Europe,Bachelor's,N,N,1083,1999,South,69113.96,Year,Y,Certified
341,Asia,Master's,Y,N,822,1838,Northeast,66711.21,Year,N,Certified
342,North America,Bachelor's,Y,N,25805,2002,South,25512.46,Year,Y,Certified
343,Asia,Master's,N,N,1741,1950,Northeast,20687.36,Year,Y,Denied
344,Asia,Bachelor's,N,N,3438,2013,Island,97325.13,Year,Y,Denied
345,Asia,Master's,N,N,1501,1983,Midwest,120371.72,Year,Y,Certified
346,Asia,Master's,Y,N,2284,2013,South,51610.24,Year,Y,Certified
